java '-javaagent:../../../../Downloads/ngrinder-agent/lib/grinder-dcr-agent-3.9.1.jar' '-Djna.library.path=/home/john/.ngrinder_agent/file-store/admin/current/lib' '-Dpython.path=/home/john/.ngrinder_agent/file-store/admin/current/lib' '-Dpython.cachedir=/tmp/jython' '-Dngrinder.etc.hosts=john-VirtualBox:127.0.0.1,localhost:127.0.0.1,' '-Dsun.net.spi.nameservice.provider.1=dns,LocalManagedDns' '-Xms628m' '-Xmx628m' '-XX:PermSize=128m' '-XX:MaxPermSize=128m' -classpath '../../../../Downloads/ngrinder-agent/lib/ngrinder-runtime-3.4.jar:../../../../Downloads/ngrinder-agent/lib/grinder-patch-3.9.1-patch.jar:.:../../../../Downloads/ngrinder-agent/lib/grinder-dcr-agent-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/grinder-core-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/json-20090211.jar:../../../../Downloads/ngrinder-agent/lib/dnsjava-2.1.1.jar:../../../../Downloads/ngrinder-agent/lib/slf4j-api-1.6.4.jar:../../../../Downloads/ngrinder-agent/lib/logback-classic-1.0.0.jar:../../../../Downloads/ngrinder-agent/lib/picocontainer-2.13.6.jar:../../../../Downloads/ngrinder-agent/lib/jython-standalone-2.5.3.jar:../../../../Downloads/ngrinder-agent/lib/commons-lang-2.6.jar:../../../../Downloads/ngrinder-agent/lib/hamcrest-all-1.1.jar:../../../../Downloads/ngrinder-agent/lib/commons-io-2.0.1.jar:../../../../Downloads/ngrinder-agent/lib/ngrinder-runtime-3.4.jar:../../../../Downloads/ngrinder-agent/lib/grinder-httpclient-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/logback-core-1.0.0.jar:../../../../Downloads/ngrinder-agent/lib/junit-dep-4.8.2.jar:../../../../Downloads/ngrinder-agent/lib/grinder-http-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/asm-3.3.1.jar' net.grinder.engine.process.WorkerProcessEntryPoint

2016-05-30 19:09:12,486 INFO  The Grinder version 3.9.1
2016-05-30 19:09:18,282 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,309 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,332 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,374 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,402 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,427 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,476 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,495 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,520 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,556 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,577 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,611 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,642 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,666 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,688 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,716 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,753 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,776 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,787 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,815 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,844 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,868 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,880 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:18,905 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
